ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time (ms)
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2525
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2535
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2545
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2556
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2564
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2574
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2585
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2594
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2604
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2614
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2624
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2634
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2644
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2656
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2664
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2675
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2685
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2695
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2708
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2715
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2726
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2735
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2745
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2757
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2765
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2774
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2785
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2794
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2806
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2814
-0.0108,-0.0275,9.9665,-0.0101,-0.0027,-0.0011,2826
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2834
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2844
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2856
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2864
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2874
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2885
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2894
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2906
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2914
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2924
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2935
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2944
